종목구분,NO,시즌,라운드구분,라운드세부,일자, 요일구분,요일,채널구분,채널,남여구분,방송형태,홈,어웨이,시작시간,종료시간,방영길이,가구 시청률,케이블가구 시청률,개인 시청자수,MF2544,소속도시,구단홈구장
프로배구,21,2021-2022,정규리그,1라운드,2021-11-03 00:00:00,주중,수요일,케이블,KBSN스포츠,여자부,생방송,한국도로공사,GS칼텍스,18:52:07,20:44:49,01:52:43,0.79367,0.83795,177739.0,32337.0,김천시,김천실내체육관
프로배구,22,2021-2022,정규리그,1라운드,2021-11-03 00:00:00,주중,수요일,케이블,SBS Sports,남자부,생방송,KB손해보험,대한항공,18:53:16,21:24:38,02:31:23,0.54492,0.61143,103224.0,15661.0,의정부시,의정부체육관
프로배구,23,2021-2022,정규리그,1라운드,2021-11-04 00:00:00,주중,목요일,케이블,KBSN스포츠,여자부,생방송,IBK기업은행,KGC인삼공사,18:51:42,21:14:56,02:23:15,0.89569,0.91022,185293.0,24517.0,화성시,화성실내체육관
프로배구,24,2021-2022,정규리그,1라운드,2021-11-04 00:00:00,주중,목요일,케이블,SBS Sports,남자부,생방송,한국전력,OK금융그룹,18:54:06,20:49:44,01:55:39,0.27156,0.30616,46300.0,1993.0,수원시,수원실내체육관
프로배구,25,2021-2022,정규리그,1라운드,2021-11-05 00:00:00,주중,금요일,케이블,KBSN스포츠,여자부,생방송,현대건설,페퍼저축은행,18:52:50,21:28:13,02:35:24,0.90372,0.7493,200926.0,53461.0,수원시,수원실내체육관
프로배구,26,2021-2022,정규리그,1라운드,2021-11-05 00:00:00,주중,금요일,케이블,SBS Sports,남자부,생방송,현대캐피탈,삼성화재,18:54:01,20:33:05,01:39:05,0.3123,0.36883,55972.0,10040.0,천안시,천안유관순체육관
프로배구,27,2021-2022,정규리그,1라운드,2021-11-06 00:00:00,주말,토요일,케이블,KBSN스포츠,여자부,생방송,한국도로공사,흥국생명,15:58:01,18:23:19,02:25:19,0.98176,1.0951,206475.0,30003.0,김천시,김천실내체육관
프로배구,28,2021-2022,정규리그,1라운드,2021-11-06 00:00:00,주말,토요일,케이블,SBS Sports,남자부,생방송,KB손해보험,우리카드,13:54:13,15:48:21,01:54:09,0.53623,0.51124,98571.0,21050.0,의정부시,의정부체육관
프로배구,29,2021-2022,정규리그,1라운드,2021-11-07 00:00:00,주말,일요일,케이블,KBSN스포츠,여자부,생방송,KGC인삼공사,GS칼텍스,15:53:01,18:15:07,02:22:07,1.17298,1.15299,237356.0,52054.0,대전광역시,대전충무체육관
프로배구,30,2021-2022,정규리그,1라운드,2021-11-07 00:00:00,주말,일요일,케이블,SBS Sports,남자부,생방송,대한항공,한국전력,13:54:11,16:11:19,02:17:09,0.36229,0.38829,54024.0,1695.0,인천광역시,인천계양체육관
프로배구,31,2021-2022,정규리그,1라운드,2021-11-09 00:00:00,주중,화요일,케이블,KBSN스포츠,남자부,생방송,OK금융그룹,삼성화재,18:52:32,21:16:11,02:23:40,0.31359,0.45712,60491.0,10448.0,부산광역시,부산금정체육관
프로배구,32,2021-2022,정규리그,1라운드,2021-11-09 00:00:00,주중,화요일,케이블,SBS Sports,여자부,생방송,IBK기업은행,페퍼저축은행,18:51:17,21:16:13,02:24:57,1.1271,1.1427,236414.0,46362.0,화성시,화성실내체육관
프로배구,33,2021-2022,정규리그,2라운드,2021-11-10 00:00:00,주중,수요일,케이블,SBS Sports,여자부,생방송,GS칼텍스,현대건설,18:52:23,20:29:25,01:37:03,1.08624,1.03386,221120.0,42344.0,서울특별시,장충체육관
프로배구,34,2021-2022,정규리그,2라운드,2021-11-11 00:00:00,주중,목요일,케이블,KBSN스포츠,남자부,생방송,KB손해보험,우리카드,18:52:53,21:44:09,02:51:17,0.40902,0.50232,70621.0,5812.0,의정부시,의정부체육관
프로배구,35,2021-2022,정규리그,2라운드,2021-11-11 00:00:00,주중,목요일,케이블,SBS Sports,여자부,생방송,한국도로공사,흥국생명,18:54:07,21:04:31,02:10:25,0.90158,0.89398,183378.0,29893.0,김천시,김천실내체육관
프로배구,36,2021-2022,정규리그,2라운드,2021-11-12 00:00:00,주중,금요일,케이블,KBSN스포츠,남자부,생방송,OK금융그룹,한국전력,18:52:54,21:15:43,02:22:50,0.583,0.70698,113353.0,13406.0,부산광역시,부산금정체육관
프로배구,37,2021-2022,정규리그,2라운드,2021-11-12 00:00:00,주중,금요일,케이블,SBS Sports,여자부,생방송,KGC인삼공사,IBK기업은행,18:54:14,20:34:17,01:40:04,0.92169,1.05902,185497.0,26666.0,대전광역시,대전충무체육관
프로배구,38,2021-2022,정규리그,2라운드,2021-11-13 00:00:00,주말,토요일,케이블,KBSN스포츠,남자부,생방송,삼성화재,현대캐피탈,13:52:37,16:09:04,02:16:28,0.66194,0.84658,140329.0,44952.0,대전광역시,대전충무체육관
프로배구,39,2021-2022,정규리그,2라운드,2021-11-13 00:00:00,주말,토요일,케이블,SBS Sports,여자부,생방송,페퍼저축은행,현대건설,15:53:42,17:32:55,01:39:14,1.13059,1.42059,212265.0,38192.0,광주광역시,페퍼스타디움(염주체육관)
프로배구,40,2021-2022,정규리그,2라운드,2021-11-14 00:00:00,주말,일요일,케이블,KBSN스포츠,남자부,생방송,우리카드,대한항공,13:53:27,15:36:26,01:43:00,0.24101,0.4397,60302.0,14284.0,서울특별시,장충체육관
프로배구,41,2021-2022,정규리그,2라운드,2021-11-14 00:00:00,주말,일요일,케이블,SBS Sports,여자부,생방송,흥국생명,GS칼텍스,15:49:50,17:36:24,01:46:35,0.67828,0.62311,134067.0,26850.0,인천광역시,인천삼산월드체육관
프로배구,42,2021-2022,정규리그,2라운드,2021-11-16 00:00:00,주중,화요일,케이블,KBSN스포츠,여자부,생방송,페퍼저축은행,IBK기업은행,18:53:00,21:33:25,02:40:26,1.05329,1.15758,236803.0,36438.0,광주광역시,페퍼스타디움(염주체육관)
프로배구,43,2021-2022,정규리그,2라운드,2021-11-16 00:00:00,주중,화요일,케이블,SBS Sports,남자부,생방송,삼성화재,OK금융그룹,18:54:02,21:51:50,02:57:49,0.56595,0.85534,133641.0,44627.0,대전광역시,대전충무체육관
프로배구,44,2021-2022,정규리그,2라운드,2021-11-17 00:00:00,주중,수요일,케이블,KBSN스포츠,여자부,생방송,현대건설,한국도로공사,18:52:54,20:33:14,01:40:21,0.72361,0.86689,173171.0,28422.0,수원시,수원실내체육관
프로배구,45,2021-2022,정규리그,2라운드,2021-11-17 00:00:00,주중,수요일,케이블,SBS Sports,남자부,생방송,현대캐피탈,KB손해보험,18:54:21,20:44:48,01:50:28,0.42371,0.4229,83342.0,9065.0,천안시,천안유관순체육관
프로배구,46,2021-2022,정규리그,2라운드,2021-11-18 00:00:00,주중,목요일,케이블,KBSN스포츠,여자부,생방송,흥국생명,KGC인삼공사,18:53:01,20:38:39,01:45:39,0.98661,1.1863,211228.0,45113.0,인천광역시,인천삼산월드체육관
프로배구,47,2021-2022,정규리그,2라운드,2021-11-18 00:00:00,주중,목요일,케이블,SBS Sports,남자부,생방송,한국전력,우리카드,18:54:16,21:11:10,02:16:55,0.40532,0.423,63888.0,12725.0,수원시,수원실내체육관
프로배구,48,2021-2022,정규리그,2라운드,2021-11-19 00:00:00,주중,금요일,케이블,KBSN스포츠,남자부,생방송,대한항공,삼성화재,18:53:16,21:40:16,02:47:01,0.78369,1.05986,148090.0,24008.0,인천광역시,인천계양체육관
프로배구,49,2021-2022,정규리그,2라운드,2021-11-19 00:00:00,주중,금요일,케이블,SBS Sports,여자부,생방송,GS칼텍스,페퍼저축은행,18:52:46,20:31:53,01:39:08,0.73564,0.71665,174011.0,37591.0,서울특별시,장충체육관
프로배구,50,2021-2022,정규리그,2라운드,2021-11-20 00:00:00,주말,토요일,케이블,KBSN스포츠,여자부,생방송,IBK기업은행,현대건설,15:52:54,18:02:49,02:09:56,1.00072,1.09896,196199.0,26703.0,화성시,화성실내체육관
